"","AOI.Name","Trial","Stimulus","Category.Group","Index","Event.Start.Trial.Time","Event.End.Trial.Time","Event.Duration","Participant"
"50","Fixation",23,"Folie14.jpg","Eye",21,8932.7,9078.1,158.6,"p1"
"51","Fixation",27,"Folie18.jpg","Eye",4,1898.4,2066.7,200.4,"p1"
"52","Grid",11,"Folie30.jpg","Eye",23,5696.8,5892.1,192,"p1"
"53","Grid",20,"Folie29.jpg","Eye",16,5082.7,5211.7,183.7,"p1"
"54","Fixation",3,"Folie25.jpg","Eye",3,412,495.4,108.6,"p1"
"55",NA,7,"Folie26.jpg","Eye",5,2415.8,2442.1,16.7,"p1"
"56",NA,29,"Folie15.jpg","Eye",12,4733.1,4760.7,16.7,"p1"
"57",NA,10,"Folie23.jpg","Eye",6,2320.4,2339.9,50.1,"p1"
"58",NA,18,"Folie11.jpg","Eye",18,7594,7599.6,17.3,"p1"
"59",NA,16,"Folie27.jpg","Eye",7,2977.4,3008.9,33.4,"p1"
"60",NA,2,"Folie3.jpg","Eye",1,257.3,346.8,66.8,"p1"
"61",NA,27,"Folie18.jpg","Eye",12,4004.5,4049.2,8.4,"p1"
"62","Fixation",12,"Folie4.jpg","Eye",21,7164.6,7847.2,359,"p1"
"63","Grid",8,"Folie22.jpg","Eye",7,2809.4,2987.3,158.6,"p1"
"64",NA,30,"Folie17.jpg","Eye",2,5256.8,5424.2,359,"p1"
"65",NA,15,"Folie8.jpg","Eye",11,3390.4,3418.8,25.1,"p1"
"66","Target Word",6,"Folie9.jpg","Eye",26,8254.8,8760.1,550.9,"p1"
"67",NA,17,"Folie1.jpg","Eye",12,3660.6,3673.5,16.7,"p1"
"68","Fixation",25,"Folie28.jpg","Eye",4,1374.8,1774.4,400.8,"p1"
"69",NA,5,"Folie12.jpg","Eye",14,3901.2,3915.1,8.3,"p1"
"70","Grid",13,"Folie7.jpg","Eye",14,4305.7,4768,567.9,"p1"
"71",NA,14,"Folie20.jpg","Eye",12,3335.1,3349.2,16.7,"p1"
"72",NA,11,"Folie30.jpg","Eye",11,3372.7,3375,16.7,"p1"
"73","Grid",4,"Folie24.jpg","Eye",8,2888.2,3051.3,183.6,"p1"
"74",NA,6,"Folie9.jpg","Eye",14,3750.3,3750.4,8.4,"p1"
"75","Fixation",11,"Folie30.jpg","Eye",6,1504.6,1757.7,417.6,"p1"
"76",NA,25,"Folie28.jpg","Eye",15,5439.2,5448.2,8.4,"p1"
"77",NA,19,"Folie2.jpg","Eye",23,6824.1,6854.2,8.1,"p1"
"78","White Space",22,"Folie13.jpg","Eye",7,2557.7,3015.7,367.6,"p1"
"79","Grid",16,"Folie27.jpg","Eye",16,3922.5,4007.2,133.6,"p1"
"80",NA,28,"Folie6.jpg","Eye",13,3686.8,3710.8,16.7,"p1"
"81",NA,1,"Folie19.jpg","Eye",6,3028.8,3031,16.7,"p1"
"82","Grid",7,"Folie26.jpg","Eye",13,4733.4,4985.7,218.1,"p1"
"83","Fixation",12,"Folie4.jpg","Eye",4,760.7,939.3,200.4,"p1"
"84","Grid",14,"Folie20.jpg","Eye",9,3298.5,3490.5,208.8,"p1"
"85",NA,26,"Folie5.jpg","Eye",13,6150.5,6206.8,16.7,"p1"
"86",NA,22,"Folie13.jpg","Eye",1,3835.8,4627.8,918.1,"p1"
"87",NA,7,"Folie26.jpg","Eye",2,4488.3,5170.6,709.6,"p1"
"88",NA,26,"Folie5.jpg","Eye",12,3273.1,3298.1,16.7,"p1"
"89","Grid",14,"Folie20.jpg","Eye",13,3962.8,4189.4,200.4,"p1"
"90","Target Word",18,"Folie11.jpg","Eye",1,7.1,342,325.8,"p1"
"91",NA,17,"Folie1.jpg","Eye",10,3452.2,3479,66.8,"p1"
"92",NA,12,"Folie4.jpg","Eye",10,2748.5,2802.1,33.4,"p1"
"93",NA,17,"Folie1.jpg","Eye",11,8216.8,8217.2,33.4,"p1"
"94","Grid",7,"Folie26.jpg","Eye",29,7087.1,7218,158.4,"p1"
"95","Fixation",25,"Folie28.jpg","Eye",4,1314.3,2086.5,835.3,"p1"
"96","Grid",3,"Folie25.jpg","Eye",22,7315.4,8108.5,951.6,"p1"
"97",NA,22,"Folie13.jpg","Eye",4,1580.3,1639.4,116.9,"p1"
"98","Grid",26,"Folie5.jpg","Eye",29,6479.5,6654.9,175.4,"p1"
"99",NA,25,"Folie28.jpg","Eye",18,5219.5,5257.7,125.2,"p1"
"100",NA,15,"Folie8.jpg","Eye",21,7273.8,7289.6,25,"p1"
"101","Grid",28,"Folie6.jpg","Eye",24,6664.1,6813.6,158.7,"p1"
"102","Target Word",4,"Folie24.jpg","Eye",27,8433.1,8724.1,158.8,"p1"
"103","Grid",26,"Folie5.jpg","Eye",12,4945.1,5089,158.7,"p1"
"104","Grid",4,"Folie24.jpg","Eye",8,2796.9,2901.3,108.5,"p1"
"105",NA,23,"Folie14.jpg","Eye",20,8214.2,8264.8,8.4,"p1"
"106",NA,7,"Folie26.jpg","Eye",18,5847.3,5861.5,16.7,"p1"
"107","Grid",7,"Folie26.jpg","Eye",18,7691.1,7858.9,175.3,"p1"
"108",NA,27,"Folie18.jpg","Eye",22,7601.3,7855.6,33.4,"p1"
"109",NA,6,"Folie9.jpg","Eye",4,2202.3,2224.2,33.4,"p1"
"110",NA,11,"Folie30.jpg","Eye",10,3274.5,3280.8,8.4,"p1"
"111","White Space",14,"Folie20.jpg","Eye",7,2328.9,2378.7,75.1,"p1"
"112",NA,8,"Folie22.jpg","Eye",16,4638.8,4670.2,16.7,"p1"
"113",NA,15,"Folie8.jpg","Eye",12,3792.9,3863.3,25.1,"p1"
"114","Fixation",27,"Folie18.jpg","Eye",1,0.9,169.8,208.8,"p1"
"115","Grid",4,"Folie24.jpg","Eye",1,0.6,186.1,175.3,"p1"
"116",NA,29,"Folie15.jpg","Eye",18,8042.5,8376.5,66.8,"p1"
"117",NA,6,"Folie9.jpg","Eye",3,7987.6,8116.6,75.2,"p1"
"118","Grid",21,"Folie10.jpg","Eye",24,7017.3,7126,133.5,"p1"
"119",NA,24,"Folie21.jpg","Eye",6,2764.3,2790.2,33.4,"p1"
"120","Target Word",5,"Folie12.jpg","Eye",5,2453.3,2796.4,334.1,"p1"
"121","Grid",21,"Folie10.jpg","Eye",12,3268.1,3423.8,133.6,"p1"
"122",NA,5,"Folie12.jpg","Eye",14,4085.8,4122.7,16.7,"p1"
"123","Target Word",28,"Folie6.jpg","Eye",26,7177,7609.1,734.9,"p1"
"124","Grid",19,"Folie2.jpg","Eye",24,7041.2,8085.4,1118.9,"p1"
"125",NA,18,"Folie11.jpg","Eye",25,7764,7997.8,233.8,"p1"
"126",NA,7,"Folie26.jpg","Eye",14,3480.7,3491.5,16.7,"p1"
"127",NA,22,"Folie13.jpg","Eye",18,7064.1,7102.6,33.4,"p1"
"128",NA,4,"Folie24.jpg","Eye",5,2945.6,2963,43.3,"p1"
"129",NA,4,"Folie24.jpg","Eye",1,5444.3,6237.4,835.1,"p1"
"130",NA,25,"Folie28.jpg","Eye",2,6524.7,7153.6,993.9,"p1"
"131",NA,2,"Folie3.jpg","Eye",10,3647.3,3655,25,"p1"
"132","Grid",12,"Folie4.jpg","Eye",23,7587.3,7987.3,325.7,"p1"
"133","Target Word",7,"Folie26.jpg","Eye",14,6520.1,8905.4,2453.9,"p1"
"134","Grid",5,"Folie12.jpg","Eye",19,4993.3,5251.4,259,"p1"
"135",NA,5,"Folie12.jpg","Eye",3,808.6,836.5,8.3,"p1"
"136","Grid",8,"Folie22.jpg","Eye",25,7400.5,7592.7,217,"p1"
"137","Grid",18,"Folie11.jpg","Eye",32,8954.1,9023.8,83.6,"p1"
"138","Grid",10,"Folie23.jpg","Eye",18,4623.8,4798,192,"p1"
"139","Grid",2,"Folie3.jpg","Eye",21,6423.6,6777.1,242.1,"p1"
"140",NA,18,"Folie11.jpg","Eye",17,5117.4,5143.1,16.7,"p1"
"141","Grid",17,"Folie1.jpg","Eye",17,5158.5,5360.4,200.3,"p1"
"142","White Space",24,"Folie21.jpg","Eye",3,2028,2242,269.8,"p1"
"143",NA,26,"Folie5.jpg","Eye",11,5043.1,5049.5,33.4,"p1"
"144","Grid",20,"Folie29.jpg","Eye",15,4582,4785.1,150.2,"p1"
"145",NA,23,"Folie14.jpg","Eye",24,8927.6,8982.7,25,"p1"
"146",NA,9,"Folie16.jpg","Eye",21,6767.2,6780.8,8.3,"p1"
"147","Target Word",22,"Folie13.jpg","Eye",22,8645.6,9099.3,417.5,"p1"
"148",NA,18,"Folie11.jpg","Eye",17,6275.4,6334.2,116.8,"p1"
"149",NA,24,"Folie21.jpg","Eye",13,4239.4,4298.9,33.4,"p1"
"150",NA,13,"Folie7.jpg","Eye",13,4015,4040.4,108.6,"p1"
"151",NA,19,"Folie2.jpg","Eye",7,3097.2,3133.5,33.4,"p1"
"152",NA,12,"Folie4.jpg","Eye",12,4297.8,4329.9,16.7,"p1"
"153","Grid",10,"Folie23.jpg","Eye",14,4398.2,4549.5,200.3,"p1"
"154",NA,23,"Folie14.jpg","Eye",2,4821.9,5137.5,350.6,"p1"
"155",NA,2,"Folie3.jpg","Eye",20,7970.6,7986.7,8.3,"p1"
"156",NA,24,"Folie21.jpg","Eye",4,2597,2598.1,8.4,"p1"
"157",NA,20,"Folie29.jpg","Eye",9,3547.5,3564.9,16.7,"p1"
"158","Grid",24,"Folie21.jpg","Eye",18,5396.7,5697.6,283.9,"p1"
"159",NA,11,"Folie30.jpg","Eye",11,2896,2924.7,8.4,"p1"
"160","Grid",1,"Folie19.jpg","Eye",9,2883.2,3084.9,233.8,"p1"
"161","Grid",30,"Folie17.jpg","Eye",18,6432.6,6547.2,116.8,"p1"
"162","Grid",5,"Folie12.jpg","Eye",22,6697.9,6894.3,150.4,"p1"
"163","Grid",11,"Folie30.jpg","Eye",19,5462.2,5839.9,400.9,"p1"
"164","Target Word",1,"Folie19.jpg","Eye",10,2766,3022.9,167,"p1"
"165",NA,3,"Folie25.jpg","Eye",22,6861.5,6885.8,25.1,"p1"
"166","White Space",17,"Folie1.jpg","Eye",7,2248,2358.2,91.9,"p1"
"167","Grid",8,"Folie22.jpg","Eye",31,8402.6,8484.3,66.8,"p1"
"168","Grid",18,"Folie11.jpg","Eye",89,43665.9,44066.6,269.2,"p1"
"169","Fixation",15,"Folie8.jpg","Eye",1,3.1,121.5,166.9,"p1"
"170",NA,25,"Folie28.jpg","Eye",22,7297.6,7322.3,33.4,"p1"
"171",NA,27,"Folie18.jpg","Eye",1,4909.3,5596.1,726.2,"p1"
"172","Grid",14,"Folie20.jpg","Eye",8,2832.5,2956.2,83.5,"p1"
"173",NA,13,"Folie7.jpg","Eye",3,7382.3,7571.6,158.7,"p1"
"174",NA,23,"Folie14.jpg","Eye",12,5896.4,5935.1,33.7,"p1"
"175","Fixation",15,"Folie8.jpg","Eye",2,573.9,804.8,217,"p1"
"176","Target Word",11,"Folie30.jpg","Eye",5,2404.5,2641.2,217,"p1"
"177","White Space",10,"Folie23.jpg","Eye",9,1974.2,2217.2,167,"p1"
"178",NA,16,"Folie27.jpg","Eye",23,8313.3,8332.6,75.1,"p1"
"179",NA,5,"Folie12.jpg","Eye",28,7351.2,7361.9,16.7,"p1"
"180","Grid",21,"Folie10.jpg","Eye",24,5399.4,5469.9,83.5,"p1"
"181",NA,19,"Folie2.jpg","Eye",21,7805.8,7800.8,108.6,"p1"
"182",NA,8,"Folie22.jpg","Eye",2,1395.4,1445.2,116.9,"p1"
"183","Grid",18,"Folie11.jpg","Eye",18,4451,4699.4,233.8,"p1"
"184","Target Word",16,"Folie27.jpg","Eye",8,2480.5,2722.3,225.5,"p1"
"185","White Space",12,"Folie4.jpg","Eye",6,1412.5,1548.1,200.4,"p1"
"186",NA,21,"Folie10.jpg","Eye",10,3844.4,3857.2,8.3,"p1"
"187",NA,12,"Folie4.jpg","Eye",7,3078.7,3100.3,8.4,"p1"
"188","Grid",22,"Folie13.jpg","Eye",9,4285,4689.3,400.8,"p1"
"189","Grid",21,"Folie10.jpg","Eye",26,7643.7,7986.1,267.1,"p1"
"190",NA,14,"Folie20.jpg","Eye",23,6122.1,6169,42.1,"p1"
"191",NA,18,"Folie11.jpg","Eye",57,28461,29015.4,367.3,"p1"
"192",NA,28,"Folie6.jpg","Eye",1,5215,5757.7,467.5,"p1"
"193","Fixation",23,"Folie14.jpg","Eye",3,1367.4,1807.1,392.5,"p1"
"194",NA,3,"Folie25.jpg","Eye",10,6143.8,6152.2,100.2,"p1"
"195",NA,28,"Folie6.jpg","Eye",12,4861.2,4874.9,8.4,"p1"
"196",NA,16,"Folie27.jpg","Eye",6,2362.3,2379.9,8.3,"p1"
"197",NA,29,"Folie15.jpg","Eye",3,2390.1,2415.6,25,"p1"
"198",NA,29,"Folie15.jpg","Eye",14,5184,5211.9,33.4,"p1"
"199",NA,2,"Folie3.jpg","Eye",17,6068.8,6089.6,16.7,"p1"
"200",NA,9,"Folie16.jpg","Eye",7,3210.2,3233,33.4,"p1"
"201","Grid",5,"Folie12.jpg","Eye",8,2482,2650.1,142,"p1"
"202",NA,12,"Folie4.jpg","Eye",35,7513.5,7553.3,8.4,"p1"
"203","Grid",29,"Folie15.jpg","Eye",8,2933,3078.7,150.2,"p1"
"204",NA,2,"Folie3.jpg","Eye",10,3830.5,3840.2,33.4,"p1"
"205",NA,6,"Folie9.jpg","Eye",4,2174.2,2162.9,8.4,"p1"
"206",NA,9,"Folie16.jpg","Eye",8,2792.9,2814.5,33.4,"p1"
"207","Fixation",19,"Folie2.jpg","Eye",2,318.9,953.7,626.1,"p1"
"208",NA,27,"Folie18.jpg","Eye",7,3006.3,3025.6,33.4,"p1"
"209",NA,8,"Folie22.jpg","Eye",23,7265,7275.5,8.3,"p1"
"210",NA,23,"Folie14.jpg","Eye",1,241.8,256.7,8.3,"p1"
"211","Grid",9,"Folie16.jpg","Eye",26,8881,9081.7,208.8,"p1"
"212",NA,25,"Folie28.jpg","Eye",4,2490.1,2575.4,58.5,"p1"
"213","Target Word",2,"Folie3.jpg","Eye",7,2537.9,2930.1,384.1,"p1"
"214",NA,17,"Folie1.jpg","Eye",1,243.4,322.3,66.8,"p1"
"215","Grid",1,"Folie19.jpg","Eye",6,2338,2460.5,141.9,"p1"
"216","Grid",3,"Folie25.jpg","Eye",9,3089.2,3278.5,192,"p1"
"217",NA,2,"Folie3.jpg","Eye",12,3900.4,3917.1,8.4,"p1"
"218","Grid",26,"Folie5.jpg","Eye",25,5719.7,6060.9,317.3,"p1"
"219","Grid",3,"Folie25.jpg","Eye",6,2283,2447.1,192.1,"p1"
"220",NA,22,"Folie13.jpg","Eye",17,5511.6,5529.8,25,"p1"
"221",NA,12,"Folie4.jpg","Eye",8,2578.5,2589.4,16.7,"p1"
"222",NA,2,"Folie3.jpg","Eye",18,7172.9,7166.4,8.4,"p1"
"223","Grid",6,"Folie9.jpg","Eye",22,5290.4,5374.1,93.3,"p1"
"224","Grid",28,"Folie6.jpg","Eye",16,4236.7,4446.7,175.4,"p1"
"225",NA,16,"Folie27.jpg","Eye",1,2154.5,2250.7,16.7,"p1"
"226","Target Word",25,"Folie28.jpg","Eye",1,7.9,278.4,267.1,"p1"
"227","Grid",4,"Folie24.jpg","Eye",25,8482.4,8556.6,66.8,"p1"
"228","Grid",23,"Folie14.jpg","Eye",6,4617.8,4759.8,150.3,"p1"
"229","Grid",15,"Folie8.jpg","Eye",31,7524.9,7766.9,250.5,"p1"
"230","Grid",24,"Folie21.jpg","Eye",8,3192.4,3286.7,91.9,"p1"
"231",NA,10,"Folie23.jpg","Eye",18,5387.4,5410.6,16.7,"p1"
"232","Grid",6,"Folie9.jpg","Eye",9,2763,2991.6,233.8,"p1"
"233","Target Word",20,"Folie29.jpg","Eye",7,2480,2650.8,150.4,"p1"
"234",NA,24,"Folie21.jpg","Eye",16,5021.2,5043,8.4,"p1"
"235","Fixation",28,"Folie6.jpg","Eye",3,766.5,1833,960.3,"p1"
"236","Grid",16,"Folie27.jpg","Eye",19,4770.5,4838.3,108.5,"p1"
"237",NA,14,"Folie20.jpg","Eye",19,4349.1,4376.5,33.4,"p1"
"238",NA,2,"Folie3.jpg","Eye",7,3325.8,3354.4,16.7,"p1"
"239","Grid",11,"Folie30.jpg","Eye",21,5879.3,6562.8,617.8,"p1"
"240","Grid",28,"Folie6.jpg","Eye",15,5301.5,5725.3,384.1,"p1"
"241","Grid",29,"Folie15.jpg","Eye",26,7775.2,8365.9,517.6,"p1"
"242","Grid",14,"Folie20.jpg","Eye",22,7852.2,7987.6,133.6,"p1"
"243",NA,18,"Folie11.jpg","Eye",8,3414.8,3440.8,8.4,"p1"
"244",NA,14,"Folie20.jpg","Eye",20,6920.1,6916,8.4,"p1"
"245","Grid",9,"Folie16.jpg","Eye",5,2133.3,2267.6,167.1,"p1"
"246",NA,8,"Folie22.jpg","Eye",16,4368.3,4400.5,33.4,"p1"
"247","Grid",16,"Folie27.jpg","Eye",10,3738.5,4330,517.6,"p1"
"248","Grid",26,"Folie5.jpg","Eye",17,4868.1,5027.2,150.2,"p1"
"249",NA,17,"Folie1.jpg","Eye",7,3269.5,3265.5,33.4,"p1"
"250",NA,16,"Folie27.jpg","Eye",13,4652.2,4660.5,8.4,"p1"
"251","Grid",25,"Folie28.jpg","Eye",12,2790,2947.5,133.6,"p1"
"252",NA,6,"Folie9.jpg","Eye",3,7925.2,8103.9,183.6,"p1"
"253","White Space",25,"Folie28.jpg","Eye",2,269.8,535.8,233.8,"p1"
"254","Grid",27,"Folie18.jpg","Eye",23,7720.4,8053.5,300.4,"p1"
"255",NA,6,"Folie9.jpg","Eye",20,8168.7,8245.3,8.4,"p1"
"256",NA,25,"Folie28.jpg","Eye",15,5920.7,5925.9,8.4,"p1"
"257",NA,23,"Folie14.jpg","Eye",14,3704.5,3710.1,33.4,"p1"
"258",NA,5,"Folie12.jpg","Eye",4,2312.9,2332.3,8.3,"p1"
"259",NA,13,"Folie7.jpg","Eye",7,3342.8,3342.5,8.4,"p1"
"260","Grid",1,"Folie19.jpg","Eye",11,3881.1,4260.3,668.2,"p1"
"261",NA,21,"Folie10.jpg","Eye",11,4785.1,4810.8,50.1,"p1"
"262","Grid",13,"Folie7.jpg","Eye",17,4783.2,4904.8,133.5,"p1"
"263","Grid",11,"Folie30.jpg","Eye",25,6322,6396.9,83.5,"p1"
"264",NA,13,"Folie7.jpg","Eye",3,8545.1,8815,192,"p1"
"265","Fixation",6,"Folie9.jpg","Eye",5,2007.6,2256.6,250.4,"p1"
"266",NA,25,"Folie28.jpg","Eye",5,2215.1,2254.5,75.1,"p1"
"267","Fixation",27,"Folie18.jpg","Eye",2,322.3,451.5,125.3,"p1"
"268",NA,20,"Folie29.jpg","Information",1,0,NA,NA,"p1"
"269","Grid",29,"Folie15.jpg","Eye",9,3121.9,3189,66.8,"p1"
"270",NA,12,"Folie4.jpg","Eye",13,3583,3593.4,16.7,"p1"
"271",NA,19,"Folie2.jpg","Eye",6,2561.9,2588,50.1,"p1"
"272","Grid",21,"Folie10.jpg","Eye",16,4871.5,5094,200.2,"p1"
"273","Grid",14,"Folie20.jpg","Eye",23,7763.4,8142.7,426,"p1"
"274","Grid",2,"Folie3.jpg","Eye",16,7140.6,7257.5,116.8,"p1"
"275","Fixation",17,"Folie1.jpg","Eye",1,11.7,414.3,392.6,"p1"
"276","White Space",24,"Folie21.jpg","Eye",5,2107.4,2230.6,192,"p1"
"277",NA,16,"Folie27.jpg","Eye",13,4707.9,4706.4,8.4,"p1"
"278","Fixation",6,"Folie9.jpg","Eye",3,489.7,576.6,133.6,"p1"
"279","Fixation",17,"Folie1.jpg","Eye",5,2143.7,2254.5,83.5,"p1"
"280",NA,24,"Folie21.jpg","Eye",9,4525.4,4550.1,16.7,"p1"
"281",NA,1,"Folie19.jpg","Eye",4,1812.2,1837.2,8.3,"p1"
"282","Grid",2,"Folie3.jpg","Eye",12,3752.6,3820.8,83.6,"p1"
"283","Grid",14,"Folie20.jpg","Eye",5,2310.8,2470.5,183.7,"p1"
"284",NA,23,"Folie14.jpg","Eye",20,8434.9,8479.2,8.3,"p1"
"285","Grid",23,"Folie14.jpg","Eye",29,8104.8,8309.3,233.7,"p1"
"286",NA,25,"Folie28.jpg","Eye",30,9070.5,9079.8,16.7,"p1"
"287","Grid",21,"Folie10.jpg","Eye",29,8488.8,8708.8,217,"p1"
"288",NA,18,"Folie11.jpg","Eye",2,5385.5,5652.3,100.2,"p1"
"289",NA,11,"Folie30.jpg","Eye",10,3793,3803.1,66.8,"p1"
"290","Fixation",13,"Folie7.jpg","Eye",18,7209.1,7553,191.9,"p1"
"291","Grid",12,"Folie4.jpg","Eye",14,3699.3,3830.5,150.3,"p1"
"292","Grid",30,"Folie17.jpg","Eye",27,8702.4,9019,375.9,"p1"
"293","Fixation",3,"Folie25.jpg","Eye",2,248.7,415.4,150.3,"p1"
"294",NA,8,"Folie22.jpg","Eye",19,5671.8,5704.3,16.7,"p1"
"295","Grid",6,"Folie9.jpg","Eye",15,4794.8,4981.7,200.3,"p1"
"296","Fixation",30,"Folie17.jpg","Eye",7,2056.9,2152.1,125.2,"p1"
"297","Grid",26,"Folie5.jpg","Eye",20,8880.3,9079.2,300.7,"p1"
"298",NA,25,"Folie28.jpg","Eye",27,7026.1,7053.5,66.8,"p1"
"299",NA,26,"Folie5.jpg","Eye",2,242.1,329.1,75.2,"p1"
"300","Grid",28,"Folie6.jpg","Eye",25,6216.9,6403.6,118,"p1"
"301",NA,28,"Folie6.jpg","Eye",1,4547.7,4914.9,112.6,"p1"
"302",NA,21,"Folie10.jpg","Eye",20,5965.8,5955.9,8.4,"p1"
"303",NA,4,"Folie24.jpg","Eye",24,6988.9,7060.5,542.7,"p1"
"304",NA,26,"Folie5.jpg","Eye",23,9003.2,9003.2,8.3,"p1"
"305",NA,27,"Folie18.jpg","Eye",1,185,223.1,50.1,"p1"
"306","Target Word",20,"Folie29.jpg","Eye",6,2464.4,2840,450.8,"p1"
"307",NA,29,"Folie15.jpg","Eye",20,6194.9,9028.3,776.6,"p1"
"308",NA,23,"Folie14.jpg","Eye",12,6087.5,6137.6,50.1,"p1"
"309","Grid",15,"Folie8.jpg","Eye",9,2643.3,2793.9,141.9,"p1"
"310","Grid",24,"Folie21.jpg","Eye",23,7495.9,7745.7,250.4,"p1"
"311","Grid",16,"Folie27.jpg","Eye",17,3846.9,3963.8,116.9,"p1"
"312","Fixation",26,"Folie5.jpg","Eye",3,438.8,527.4,75.2,"p1"
"313",NA,8,"Folie22.jpg","Eye",25,8501.4,8505.9,8.3,"p1"
"314","Grid",1,"Folie19.jpg","Eye",15,4774.5,4960.6,158.7,"p1"
"315","Grid",25,"Folie28.jpg","Eye",25,6146.7,6253.3,158.7,"p1"
"316","Target Word",6,"Folie9.jpg","Eye",24,7742.4,7938.5,141.9,"p1"
"317","Target Word",14,"Folie20.jpg","Eye",6,2483.7,2589.3,66.8,"p1"
"318","Target Word",2,"Folie3.jpg","Eye",22,6834.8,7570.7,701.3,"p1"
"319","White Space",26,"Folie5.jpg","Eye",40,38647,38997.7,1803.7,"p1"
"320","Grid",30,"Folie17.jpg","Eye",22,8436.5,8570.1,125.3,"p1"
"321","Grid",8,"Folie22.jpg","Information",11,3362.2,3596.9,242.2,"p1"
"322",NA,12,"Folie4.jpg","Eye",6,2489.6,2524.1,50.1,"p1"
"323","Grid",7,"Folie26.jpg","Eye",24,6273.1,6737,467.6,"p1"
