"AOI.Name","Trial","Stimulus","Category.Group","Index","Event.Start.Trial.Time","Event.End.Trial.Time","Event.Duration"
"Grid",18,"Folie11.jpg","Eye",89,43665.9,44066.6,269.2
"Fixation",15,"Folie8.jpg","Eye",1,3.1,121.5,166.9
NA,25,"Folie28.jpg","Eye",22,7297.6,7322.3,33.4
NA,27,"Folie18.jpg","Eye",1,4909.3,5596.1,726.2
"Grid",14,"Folie20.jpg","Eye",8,2832.5,2956.2,83.5
NA,13,"Folie7.jpg","Eye",3,7382.3,7571.6,158.7
NA,23,"Folie14.jpg","Eye",12,5896.4,5935.1,33.7
"Fixation",15,"Folie8.jpg","Eye",2,573.9,804.8,217
"Target Word",11,"Folie30.jpg","Eye",5,2404.5,2641.2,217
"White Space",10,"Folie23.jpg","Eye",9,1974.2,2217.2,167
NA,16,"Folie27.jpg","Eye",23,8313.3,8332.6,75.1
NA,5,"Folie12.jpg","Eye",28,7351.2,7361.9,16.7
"Grid",21,"Folie10.jpg","Eye",24,5399.4,5469.9,83.5
NA,19,"Folie2.jpg","Eye",21,7805.8,7800.8,108.6
NA,8,"Folie22.jpg","Eye",2,1395.4,1445.2,116.9
"Grid",18,"Folie11.jpg","Eye",18,4451,4699.4,233.8
"Target Word",16,"Folie27.jpg","Eye",8,2480.5,2722.3,225.5
"White Space",12,"Folie4.jpg","Eye",6,1412.5,1548.1,200.4
NA,21,"Folie10.jpg","Eye",10,3844.4,3857.2,8.3
NA,12,"Folie4.jpg","Eye",7,3078.7,3100.3,8.4
"Grid",22,"Folie13.jpg","Eye",9,4285,4689.3,400.8
"Grid",21,"Folie10.jpg","Eye",26,7643.7,7986.1,267.1
NA,14,"Folie20.jpg","Eye",23,6122.1,6169,42.1
NA,18,"Folie11.jpg","Eye",57,28461,29015.4,367.3
NA,28,"Folie6.jpg","Eye",1,5215,5757.7,467.5
"Fixation",23,"Folie14.jpg","Eye",3,1367.4,1807.1,392.5
NA,3,"Folie25.jpg","Eye",10,6143.8,6152.2,100.2
NA,28,"Folie6.jpg","Eye",12,4861.2,4874.9,8.4
NA,16,"Folie27.jpg","Eye",6,2362.3,2379.9,8.3
NA,29,"Folie15.jpg","Eye",3,2390.1,2415.6,25
NA,29,"Folie15.jpg","Eye",14,5184,5211.9,33.4
NA,2,"Folie3.jpg","Eye",17,6068.8,6089.6,16.7
NA,9,"Folie16.jpg","Eye",7,3210.2,3233,33.4
"Grid",5,"Folie12.jpg","Eye",8,2482,2650.1,142
NA,12,"Folie4.jpg","Eye",35,7513.5,7553.3,8.4
"Grid",29,"Folie15.jpg","Eye",8,2933,3078.7,150.2
NA,2,"Folie3.jpg","Eye",10,3830.5,3840.2,33.4
NA,6,"Folie9.jpg","Eye",4,2174.2,2162.9,8.4
NA,9,"Folie16.jpg","Eye",8,2792.9,2814.5,33.4
"Fixation",19,"Folie2.jpg","Eye",2,318.9,953.7,626.1
NA,27,"Folie18.jpg","Eye",7,3006.3,3025.6,33.4
NA,8,"Folie22.jpg","Eye",23,7265,7275.5,8.3
NA,23,"Folie14.jpg","Eye",1,241.8,256.7,8.3
"Grid",9,"Folie16.jpg","Eye",26,8881,9081.7,208.8
NA,25,"Folie28.jpg","Eye",4,2490.1,2575.4,58.5
"Target Word",2,"Folie3.jpg","Eye",7,2537.9,2930.1,384.1
NA,17,"Folie1.jpg","Eye",1,243.4,322.3,66.8
"Grid",1,"Folie19.jpg","Eye",6,2338,2460.5,141.9
"Grid",3,"Folie25.jpg","Eye",9,3089.2,3278.5,192
NA,2,"Folie3.jpg","Eye",12,3900.4,3917.1,8.4
"Grid",26,"Folie5.jpg","Eye",25,5719.7,6060.9,317.3
"Grid",3,"Folie25.jpg","Eye",6,2283,2447.1,192.1
NA,22,"Folie13.jpg","Eye",17,5511.6,5529.8,25
NA,12,"Folie4.jpg","Eye",8,2578.5,2589.4,16.7
NA,2,"Folie3.jpg","Eye",18,7172.9,7166.4,8.4
"Grid",6,"Folie9.jpg","Eye",22,5290.4,5374.1,93.3
"Grid",28,"Folie6.jpg","Eye",16,4236.7,4446.7,175.4
NA,16,"Folie27.jpg","Eye",1,2154.5,2250.7,16.7
"Target Word",25,"Folie28.jpg","Eye",1,7.9,278.4,267.1
"Grid",4,"Folie24.jpg","Eye",25,8482.4,8556.6,66.8
"Grid",23,"Folie14.jpg","Eye",6,4617.8,4759.8,150.3
"Grid",15,"Folie8.jpg","Eye",31,7524.9,7766.9,250.5
"Grid",24,"Folie21.jpg","Eye",8,3192.4,3286.7,91.9
NA,10,"Folie23.jpg","Eye",18,5387.4,5410.6,16.7
"Grid",6,"Folie9.jpg","Eye",9,2763,2991.6,233.8
"Target Word",20,"Folie29.jpg","Eye",7,2480,2650.8,150.4
NA,24,"Folie21.jpg","Eye",16,5021.2,5043,8.4
"Fixation",28,"Folie6.jpg","Eye",3,766.5,1833,960.3
"Grid",16,"Folie27.jpg","Eye",19,4770.5,4838.3,108.5
NA,14,"Folie20.jpg","Eye",19,4349.1,4376.5,33.4
NA,2,"Folie3.jpg","Eye",7,3325.8,3354.4,16.7
"Grid",11,"Folie30.jpg","Eye",21,5879.3,6562.8,617.8
"Grid",28,"Folie6.jpg","Eye",15,5301.5,5725.3,384.1
"Grid",29,"Folie15.jpg","Eye",26,7775.2,8365.9,517.6
"Grid",14,"Folie20.jpg","Eye",22,7852.2,7987.6,133.6
NA,18,"Folie11.jpg","Eye",8,3414.8,3440.8,8.4
NA,14,"Folie20.jpg","Eye",20,6920.1,6916,8.4
"Grid",9,"Folie16.jpg","Eye",5,2133.3,2267.6,167.1
NA,8,"Folie22.jpg","Eye",16,4368.3,4400.5,33.4
"Grid",16,"Folie27.jpg","Eye",10,3738.5,4330,517.6
"Grid",26,"Folie5.jpg","Eye",17,4868.1,5027.2,150.2
NA,17,"Folie1.jpg","Eye",7,3269.5,3265.5,33.4
NA,16,"Folie27.jpg","Eye",13,4652.2,4660.5,8.4
"Grid",25,"Folie28.jpg","Eye",12,2790,2947.5,133.6
NA,6,"Folie9.jpg","Eye",3,7925.2,8103.9,183.6
"White Space",25,"Folie28.jpg","Eye",2,269.8,535.8,233.8
"Grid",27,"Folie18.jpg","Eye",23,7720.4,8053.5,300.4
NA,6,"Folie9.jpg","Eye",20,8168.7,8245.3,8.4
NA,25,"Folie28.jpg","Eye",15,5920.7,5925.9,8.4
NA,23,"Folie14.jpg","Eye",14,3704.5,3710.1,33.4
NA,5,"Folie12.jpg","Eye",4,2312.9,2332.3,8.3
NA,13,"Folie7.jpg","Eye",7,3342.8,3342.5,8.4
"Grid",1,"Folie19.jpg","Eye",11,3881.1,4260.3,668.2
NA,21,"Folie10.jpg","Eye",11,4785.1,4810.8,50.1
"Grid",13,"Folie7.jpg","Eye",17,4783.2,4904.8,133.5
"Grid",11,"Folie30.jpg","Eye",25,6322,6396.9,83.5
NA,13,"Folie7.jpg","Eye",3,8545.1,8815,192
"Fixation",6,"Folie9.jpg","Eye",5,2007.6,2256.6,250.4
NA,25,"Folie28.jpg","Eye",5,2215.1,2254.5,75.1
"Fixation",27,"Folie18.jpg","Eye",2,322.3,451.5,125.3
NA,20,"Folie29.jpg","Information",1,0,NA,NA
"Grid",29,"Folie15.jpg","Eye",9,3121.9,3189,66.8
NA,12,"Folie4.jpg","Eye",13,3583,3593.4,16.7
NA,19,"Folie2.jpg","Eye",6,2561.9,2588,50.1
"Grid",21,"Folie10.jpg","Eye",16,4871.5,5094,200.2
"Grid",14,"Folie20.jpg","Eye",23,7763.4,8142.7,426
"Grid",2,"Folie3.jpg","Eye",16,7140.6,7257.5,116.8
"Fixation",17,"Folie1.jpg","Eye",1,11.7,414.3,392.6
"White Space",24,"Folie21.jpg","Eye",5,2107.4,2230.6,192
NA,16,"Folie27.jpg","Eye",13,4707.9,4706.4,8.4
"Fixation",6,"Folie9.jpg","Eye",3,489.7,576.6,133.6
"Fixation",17,"Folie1.jpg","Eye",5,2143.7,2254.5,83.5
NA,24,"Folie21.jpg","Eye",9,4525.4,4550.1,16.7
NA,1,"Folie19.jpg","Eye",4,1812.2,1837.2,8.3
"Grid",2,"Folie3.jpg","Eye",12,3752.6,3820.8,83.6
"Grid",14,"Folie20.jpg","Eye",5,2310.8,2470.5,183.7
NA,23,"Folie14.jpg","Eye",20,8434.9,8479.2,8.3
"Grid",23,"Folie14.jpg","Eye",29,8104.8,8309.3,233.7
NA,25,"Folie28.jpg","Eye",30,9070.5,9079.8,16.7
"Grid",21,"Folie10.jpg","Eye",29,8488.8,8708.8,217
NA,18,"Folie11.jpg","Eye",2,5385.5,5652.3,100.2
NA,11,"Folie30.jpg","Eye",10,3793,3803.1,66.8
"Fixation",13,"Folie7.jpg","Eye",18,7209.1,7553,191.9
"Grid",12,"Folie4.jpg","Eye",14,3699.3,3830.5,150.3
"Grid",30,"Folie17.jpg","Eye",27,8702.4,9019,375.9
"Fixation",3,"Folie25.jpg","Eye",2,248.7,415.4,150.3
NA,8,"Folie22.jpg","Eye",19,5671.8,5704.3,16.7
"Grid",6,"Folie9.jpg","Eye",15,4794.8,4981.7,200.3
"Fixation",30,"Folie17.jpg","Eye",7,2056.9,2152.1,125.2
"Grid",26,"Folie5.jpg","Eye",20,8880.3,9079.2,300.7
NA,25,"Folie28.jpg","Eye",27,7026.1,7053.5,66.8
NA,26,"Folie5.jpg","Eye",2,242.1,329.1,75.2
"Grid",28,"Folie6.jpg","Eye",25,6216.9,6403.6,118
NA,28,"Folie6.jpg","Eye",1,4547.7,4914.9,112.6
NA,21,"Folie10.jpg","Eye",20,5965.8,5955.9,8.4
NA,4,"Folie24.jpg","Eye",24,6988.9,7060.5,542.7
NA,26,"Folie5.jpg","Eye",23,9003.2,9003.2,8.3
NA,27,"Folie18.jpg","Eye",1,185,223.1,50.1
"Target Word",20,"Folie29.jpg","Eye",6,2464.4,2840,450.8
NA,29,"Folie15.jpg","Eye",20,6194.9,9028.3,776.6
NA,23,"Folie14.jpg","Eye",12,6087.5,6137.6,50.1
"Grid",15,"Folie8.jpg","Eye",9,2643.3,2793.9,141.9
"Grid",24,"Folie21.jpg","Eye",23,7495.9,7745.7,250.4
"Grid",16,"Folie27.jpg","Eye",17,3846.9,3963.8,116.9
"Fixation",26,"Folie5.jpg","Eye",3,438.8,527.4,75.2
NA,8,"Folie22.jpg","Eye",25,8501.4,8505.9,8.3
"Grid",1,"Folie19.jpg","Eye",15,4774.5,4960.6,158.7
"Grid",25,"Folie28.jpg","Eye",25,6146.7,6253.3,158.7
"Target Word",6,"Folie9.jpg","Eye",24,7742.4,7938.5,141.9
"Target Word",14,"Folie20.jpg","Eye",6,2483.7,2589.3,66.8
"Target Word",2,"Folie3.jpg","Eye",22,6834.8,7570.7,701.3
"White Space",26,"Folie5.jpg","Eye",40,38647,38997.7,1803.7
"Grid",30,"Folie17.jpg","Eye",22,8436.5,8570.1,125.3
"Grid",8,"Folie22.jpg","Information",11,3362.2,3596.9,242.2
NA,12,"Folie4.jpg","Eye",6,2489.6,2524.1,50.1
"Grid",7,"Folie26.jpg","Eye",24,6273.1,6737,467.6
"Grid",14,"Folie20.jpg","Eye",27,8558.1,8789.8,208.8
NA,29,"Folie15.jpg","Eye",6,1145.2,1355.1,66.8
"Grid",12,"Folie4.jpg","Eye",2,263.1,595.9,300.7
NA,22,"Folie13.jpg","Eye",10,5206.4,5255.7,17.2
NA,19,"Folie2.jpg","Eye",26,8406.9,8429.5,41.8
"Fixation",22,"Folie13.jpg","Information",1,0,NA,NA
"Grid",17,"Folie1.jpg","Eye",20,7023.3,7276.2,233.9
"Grid",29,"Folie15.jpg","Eye",19,5737.1,5884.6,158.6
"White Space",6,"Folie9.jpg","Eye",19,7226.9,7427.5,167
NA,22,"Folie13.jpg","Eye",13,5956.5,5957.8,50.1
"Grid",18,"Folie11.jpg","Eye",15,5615.2,5817.2,175.2
NA,11,"Folie30.jpg","Eye",4,3263.2,3274.9,16.7
NA,27,"Folie18.jpg","Eye",7,3322.7,3381.9,16.7
NA,17,"Folie1.jpg","Eye",8,3416.9,3443.3,8.4
NA,6,"Folie9.jpg","Eye",9,2910.1,2920.9,16.7
NA,6,"Folie9.jpg","Eye",21,8866.4,8896.6,8.4
NA,25,"Folie28.jpg","Eye",9,3098.4,3165.4,33.4
"Grid",5,"Folie12.jpg","Eye",14,3757.7,3951.7,166.9
NA,25,"Folie28.jpg","Eye",15,4493.4,4518.6,8.4
NA,20,"Folie29.jpg","Eye",17,5392.5,5400.8,50.1
"Fixation",6,"Folie9.jpg","Eye",24,8392.8,8545.7,300.6
NA,19,"Folie2.jpg","Eye",26,8949.8,8945.2,8.3
NA,25,"Folie28.jpg","Eye",12,3726.5,3751.1,8.3
NA,14,"Folie20.jpg","Eye",15,4430.8,4450.6,8.3
"Grid",30,"Folie17.jpg","Eye",21,8052.3,8212.2,217
"Grid",5,"Folie12.jpg","Eye",30,8328.1,8859.5,542.7
"Grid",18,"Folie11.jpg","Eye",3,2273.3,2418.6,150.3
NA,19,"Folie2.jpg","Eye",2,5827.2,5950,292.5
"Grid",23,"Folie14.jpg","Eye",28,8717,8846.3,133.5
NA,20,"Folie29.jpg","Eye",17,4788.1,4811.5,16.7
NA,29,"Folie15.jpg","Information",1,0,NA,NA
NA,18,"Folie11.jpg","Eye",42,33496.2,35457.2,16.7
NA,13,"Folie7.jpg","Eye",18,5365.5,5368.1,8.4
NA,11,"Folie30.jpg","Eye",10,3383.2,3400.1,8.4
"Grid",8,"Folie22.jpg","Eye",16,4577.6,4802.4,217.1
NA,30,"Folie17.jpg","Eye",11,3051.3,3109.2,16.7
NA,5,"Folie12.jpg","Eye",6,2505,2562.4,83.5
NA,25,"Folie28.jpg","Eye",17,5536.7,5562.6,16.7
"Grid",6,"Folie9.jpg","Eye",12,4176.2,4560.8,609.7
NA,18,"Folie11.jpg","Eye",17,4696.9,4749.8,25.1
NA,16,"Folie27.jpg","Eye",8,3569.8,3572.4,25
NA,18,"Folie11.jpg","Eye",15,17446.5,18589.6,16.7
NA,14,"Folie20.jpg","Eye",3,2071.3,2161.2,116.9
"Fixation",2,"Folie3.jpg","Eye",1,4.8,394.2,400.9
"Grid",16,"Folie27.jpg","Eye",13,3401.7,3651.1,267.4
NA,7,"Folie26.jpg","Eye",7,3157.1,3198.9,8.4
"Grid",16,"Folie27.jpg","Eye",19,6850.6,7002.8,133.6
NA,27,"Folie18.jpg","Eye",5,7805.1,7944.8,143.9
"Target Word",21,"Folie10.jpg","Eye",19,6480.8,6677.4,217.3
NA,25,"Folie28.jpg","Eye",3,1520.2,1542.9,8.3
"Grid",15,"Folie8.jpg","Eye",19,5219.1,5380,150.3
NA,30,"Folie17.jpg","Eye",11,3719.2,3747.3,16.7
"Grid",21,"Folie10.jpg","Eye",13,4404.2,4870,334.1
"Fixation",13,"Folie7.jpg","Eye",4,1091.6,2272.6,1135
"White Space",6,"Folie9.jpg","Eye",4,1447.7,2229.4,250.4
NA,18,"Folie11.jpg","Information",1,0,NA,NA
NA,19,"Folie2.jpg","Eye",14,4452.4,4459.8,8.3
"Grid",16,"Folie27.jpg","Eye",4,2317.7,2541.6,192.1
NA,3,"Folie25.jpg","Eye",5,2394.2,2419.8,41.8
"Grid",26,"Folie5.jpg","Eye",20,6233.9,6388.1,141.9
NA,11,"Folie30.jpg","Eye",18,5425.3,5409.5,8.4
"White Space",7,"Folie26.jpg","Eye",21,5972.9,6017.1,100.1
"Grid",14,"Folie20.jpg","Eye",22,5399.2,5653.1,275.5
NA,3,"Folie25.jpg","Eye",1,7047.8,7078.5,459.3
NA,12,"Folie4.jpg","Eye",8,3012.8,3018.1,8.3
"Grid",29,"Folie15.jpg","Eye",26,7261.6,7441.6,183.6
NA,20,"Folie29.jpg","Eye",12,3805.8,3815.2,16.7
NA,17,"Folie1.jpg","Eye",6,2759.1,2781.7,8.4
NA,6,"Folie9.jpg","Eye",4,678.6,681.2,8.3
