RECORDING_SESSION_LABEL,TRIAL_INDEX,DATA_FILE,EYE_USED,stimulus,condition,IA_LABEL,IA_FIRST_FIXATION_DURATION,TRIAL_FIXATION_COUNT,IA_REGRESSION_PATH_DURATION
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,8,488.62412146780116
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,8,396.3816840715654
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,8,517.5183584053597
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,8,508.8801848422601
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,8,368.4001137424855
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,8,648.3133479560134
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,8,605.5193602393812
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,8,590.5853901686294
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,8,455.454112183836
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,8,441.1062478582968
p8,1,p8.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,8,460.2912183402494
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,8,197.09626141689193
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,8,176.67495266835712
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,8,180.34516937506126
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,8,212.2691382161342
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,8,162.29892052025227
p8,2,p8.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,8,191.10733177028774
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,10,252.35474457770232
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,10,373.2665785428777
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,10,265.0159246198955
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,10,233.09694458368472
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,10,229.62831436141215
p9,1,p9.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,10,278.5081697938225
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,10,367.5324622264697
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,10,488.62412146780116
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,10,396.3816840715654
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,10,517.5183584053597
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,10,508.8801848422601
p9,2,p9.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,10,368.4001137424855
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,10,648.3133479560134
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,10,605.5193602393812
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,10,590.5853901686294
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,10,455.454112183836
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,10,441.1062478582968
p10,1,p10.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,10,460.2912183402494
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,10,197.09626141689193
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,10,176.67495266835712
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,10,180.34516937506126
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,10,212.2691382161342
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,10,162.29892052025227
p10,2,p10.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,10,191.10733177028774
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,15,252.35474457770232
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,15,373.2665785428777
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,15,265.0159246198955
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,15,233.09694458368472
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,15,229.62831436141215
p11,1,p11.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,15,278.5081697938225
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,15,367.5324622264697
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,15,488.62412146780116
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,15,396.3816840715654
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,15,517.5183584053597
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,15,508.8801848422601
p11,2,p11.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,15,368.4001137424855
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,15,648.3133479560134
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,15,605.5193602393812
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,15,590.5853901686294
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,15,455.454112183836
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,15,441.1062478582968
p12,1,p12.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,15,460.2912183402494
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,15,197.09626141689193
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,15,176.67495266835712
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,15,180.34516937506126
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,15,212.2691382161342
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,15,162.29892052025227
p12,2,p12.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,15,191.10733177028774
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,17,252.35474457770232
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,17,373.2665785428777
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,17,265.0159246198955
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,17,233.09694458368472
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,17,229.62831436141215
p13,1,p13.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,17,278.5081697938225
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,17,367.5324622264697
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,17,488.62412146780116
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,17,396.3816840715654
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,17,517.5183584053597
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,17,508.8801848422601
p13,2,p13.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,17,368.4001137424855
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,17,648.3133479560134
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,17,605.5193602393812
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,17,590.5853901686294
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,17,455.454112183836
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,17,441.1062478582968
p14,1,p14.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,17,460.2912183402494
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,17,197.09626141689193
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,17,176.67495266835712
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,17,180.34516937506126
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,17,212.2691382161342
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,17,162.29892052025227
p14,2,p14.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,17,191.10733177028774
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,11,252.35474457770232
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,11,373.2665785428777
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,11,265.0159246198955
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,11,233.09694458368472
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,11,229.62831436141215
p15,1,p15.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,11,278.5081697938225
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,11,367.5324622264697
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,11,488.62412146780116
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,11,396.3816840715654
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,11,517.5183584053597
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,11,508.8801848422601
p15,2,p15.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,11,368.4001137424855
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,11,648.3133479560134
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,11,605.5193602393812
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,11,590.5853901686294
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,11,455.454112183836
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,11,441.1062478582968
p16,1,p16.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,11,460.2912183402494
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,11,197.09626141689193
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,11,176.67495266835712
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,11,180.34516937506126
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,11,212.2691382161342
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,11,162.29892052025227
p16,2,p16.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,11,191.10733177028774
