Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	13	4233.7	4467.5	10909564.9	10909798.6	233.7	1047.1	417.7	13.5	13.5	3.3	21.3	9.9	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	13	4467.5	4484.1	10909798.6	10909815.3	16.7	-	-	-	-	-	-	-	1042.9	414.3	1181.0	410.8	0.8	3626.4	5480.6	-5199.6	48.7	184.4	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	14	4484.1	4701.1	10909815.3	10910032.2	216.9	1193.3	393.5	13.5	13.5	3.3	17.1	27.0	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Blink	Right	1	4734.4	5218.1	10910065.6	10910549.3	483.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	14	5218.1	5301.5	10910549.3	10910632.7	83.4	-	-	-	-	-	-	-	1197.3	388.7	1182.8	404.0	85.7	21031.9	48866.6	-48994.8	1026.9	1648.2	0.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	15	5301.5	5368.3	10910632.7	10910699.4	66.7	1161.6	405.7	14.6	14.6	-	80.7	15.7	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	15	5368.3	5384.9	10910699.4	10910716.1	16.7	-	-	-	-	-	-	-	1102.0	395.1	1046.8	394.9	0.8	2090.4	1770.8	-2565.7	45.4	89.4	0.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	16	5384.9	5568.5	10910716.1	10910899.6	183.5	1037.4	390.6	14.4	14.4	-	14.3	10.2	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	16	5568.5	5585.1	10910899.6	10910916.3	16.7	-	-	-	-	-	-	-	1033.3	388.5	1017.7	200.9	1.2	4908.5	7466.8	-6481.2	70.5	251.3	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	17	5585.1	5969.1	10910916.3	10911300.2	383.9	980.9	168.4	13.7	13.7	3.4	44.4	51.1	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	17	5969.1	6002.5	10911300.2	10911333.6	33.4	-	-	-	-	-	-	-	975.4	152.4	1298.0	328.3	3.7	6713.4	7572.3	-6334.5	109.5	254.3	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	18	6002.5	6136.0	10911333.6	10911467.2	133.6	1347.2	354.9	14.0	14.0	3.5	62.8	33.4	-	-	-	-	-	-	-	-	-	-	-	Cell 10	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	18	6136.0	6152.7	10911467.2	10911483.9	16.7	-	-	-	-	-	-	-	1360.8	360.8	1362.9	364.6	0.1	96.0	127.9	-155.2	3.1	5.8	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	19	6152.7	6970.9	10911483.9	10912302.0	818.1	1394.2	373.2	14.6	14.6	3.7	61.5	16.4	-	-	-	-	-	-	-	-	-	-	-	Cell 10	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	19	6970.9	6987.6	10912302.0	10912318.7	16.7	-	-	-	-	-	-	-	1424.1	379.3	1553.3	379.0	0.8	3401.5	5088.3	-5050.0	47.9	172.5	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	20	6987.6	7204.6	10912318.7	10912535.8	217.1	1555.8	375.3	14.8	14.8	3.8	17.0	9.4	-	-	-	-	-	-	-	-	-	-	-	Cell 10	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Blink	Right	2	7221.3	7388.3	10912552.5	10912719.5	167.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	21	7388.3	7672.1	10912719.5	10913003.3	283.8	1071.0	301.4	15.0	15.0	3.8	18.7	65.4	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	20	7672.1	7688.8	10913003.3	10913020.0	16.7	-	-	-	-	-	-	-	1068.0	317.9	1073.7	354.3	0.4	944.8	1404.7	-993.3	21.5	49.1	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	22	7688.8	7839.1	10913020.0	10913170.2	150.3	1080.8	385.5	14.8	14.8	3.7	12.7	41.2	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	21	7839.1	7872.5	10913170.2	10913203.6	33.4	-	-	-	-	-	-	-	1086.3	391.4	869.2	394.6	2.0	4181.0	5491.6	-5443.9	61.0	188.4	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	23	7872.5	8206.3	10913203.6	10913537.5	333.9	868.0	404.9	14.7	14.7	3.7	46.3	18.3	-	-	-	-	-	-	-	-	-	-	-	Cell 4	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	22	8206.3	8223.0	10913537.5	10913554.2	16.7	-	-	-	-	-	-	-	892.7	394.8	921.0	191.6	1.4	5433.6	8050.9	-7624.5	85.6	273.8	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	24	8223.0	8356.6	10913554.2	10913687.7	133.5	953.0	211.0	14.2	14.2	3.6	40.3	25.6	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	23	8356.6	8389.9	10913687.7	10913721.1	33.4	-	-	-	-	-	-	-	960.9	213.3	738.1	403.4	2.7	5728.1	7418.7	-7330.6	81.0	251.9	50.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	25	8389.9	8957.5	10913721.1	10914288.6	567.5	727.0	416.3	13.9	13.9	3.5	39.0	24.2	-	-	-	-	-	-	-	-	-	-	-	Cell 4	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	24	8957.5	8974.2	10914288.6	10914305.3	16.7	-	-	-	-	-	-	-	740.6	416.1	920.4	194.8	2.0	7797.4	11325.5	-10322.0	117.4	380.2	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	26	8974.2	9074.3	10914305.3	10914405.5	100.2	974.1	200.3	13.6	13.6	3.4	68.1	24.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Information	Separator	-	1	0.0	-	10914414.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	folie3.jpg
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	1	7.6	91.0	10914422.2	10914505.6	83.5	988.8	206.7	13.4	13.4	3.4	3.4	85.4	-	-	-	-	-	-	-	-	-	-	-	Target Word	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	1	91.0	107.7	10914505.6	10914522.3	16.7	-	-	-	-	-	-	-	986.7	276.8	883.8	396.8	1.5	5028.0	6281.0	-6051.0	87.1	211.0	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	2	107.7	274.7	10914522.3	10914689.3	166.9	892.3	414.6	13.4	13.4	3.4	13.9	29.7	-	-	-	-	-	-	-	-	-	-	-	Cell 4	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	2	274.7	324.7	10914689.3	10914739.3	50.1	-	-	-	-	-	-	-	894.1	426.5	222.4	512.8	7.8	7338.7	9597.2	-9538.0	155.3	325.4	66.7	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	3	324.7	558.4	10914739.3	10914973.0	233.7	204.5	507.2	13.3	13.3	3.3	34.8	16.2	-	-	-	-	-	-	-	-	-	-	-	Fixation	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	3	558.4	575.1	10914973.0	10914989.7	16.7	-	-	-	-	-	-	-	193.0	499.8	85.9	508.6	0.6	2856.8	4192.8	-4279.8	38.2	143.5	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	4	575.1	2261.3	10914989.7	10916675.9	1686.2	70.2	503.1	13.0	13.0	3.3	37.6	27.3	-	-	-	-	-	-	-	-	-	-	-	Fixation	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	4	2261.3	2394.9	10916675.9	10916809.5	133.6	-	-	-	-	-	-	-	48.3	500.8	897.1	183.5	15.8	6692.8	12767.3	-12470.6	118.6	431.7	12.5	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	5	2394.9	2645.2	10916809.5	10917059.8	250.4	916.3	187.2	12.9	12.9	3.3	81.7	17.9	-	-	-	-	-	-	-	-	-	-	-	Target Word	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	5	2645.2	2728.7	10917059.8	10917143.3	83.5	-	-	-	-	-	-	-	953.8	177.6	787.2	345.8	4.0	2702.8	9259.8	-8463.5	47.5	309.9	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	6	2728.7	2995.7	10917143.3	10917410.3	267.0	752.8	381.0	13.1	13.1	3.2	55.2	44.6	-	-	-	-	-	-	-	-	-	-	-	Cell 4	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	6	2995.7	3029.1	10917410.3	10917443.7	33.4	-	-	-	-	-	-	-	731.9	390.5	1060.8	396.8	3.1	6365.8	6723.5	-6830.1	91.7	230.1	50.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	7	3029.1	3212.7	10917443.7	10917627.3	183.6	1071.3	401.4	13.0	13.0	3.2	18.3	7.5	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	7	3212.7	3229.4	10917627.3	10917644.0	16.7	-	-	-	-	-	-	-	1077.5	402.1	1324.7	402.1	1.7	6905.3	9814.3	-9445.4	98.8	329.8	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	8	3229.4	3463.1	10917644.0	10917877.7	233.7	1371.1	390.8	13.0	13.0	3.3	52.9	23.3	-	-	-	-	-	-	-	-	-	-	-	Cell 10	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	8	3463.1	3479.8	10917877.7	10917894.4	16.7	-	-	-	-	-	-	-	1377.5	384.2	1255.8	591.8	1.5	6222.4	9582.4	-8463.4	89.6	321.1	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	9	3479.8	3663.4	10917894.4	10918078.0	183.6	1244.1	601.5	13.1	13.1	3.3	35.6	44.1	-	-	-	-	-	-	-	-	-	-	-	Cell 8	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	9	3663.4	3680.1	10918078.0	10918094.7	16.7	-	-	-	-	-	-	-	1225.0	615.4	1097.6	614.0	0.8	3293.3	4985.6	-4862.1	50.2	170.1	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	10	3680.1	3847.1	10918094.7	10918261.7	166.9	1078.5	613.8	13.1	13.1	3.3	25.7	5.2	-	-	-	-	-	-	-	-	-	-	-	Cell 8	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	10	3847.1	3880.5	10918261.7	10918295.0	33.4	-	-	-	-	-	-	-	1072.9	611.1	817.8	612.1	2.3	5023.3	5248.2	-5124.7	69.1	176.6	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	11	3880.5	4080.7	10918295.0	10918495.3	200.3	790.8	619.3	13.1	13.1	3.2	77.7	19.4	-	-	-	-	-	-	-	-	-	-	-	Cell 5	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	11	4080.7	4164.2	10918495.3	10918578.8	83.5	-	-	-	-	-	-	-	740.1	630.4	474.5	634.1	4.5	2654.9	7519.9	-6651.0	53.6	253.6	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	12	4164.2	4364.5	10918578.8	10918779.1	200.3	420.0	636.1	13.2	13.2	3.2	65.6	5.4	-	-	-	-	-	-	-	-	-	-	-	Cell 2	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Saccade	Right	12	4364.5	4381.2	10918779.1	10918795.8	16.7	-	-	-	-	-	-	-	409.5	637.3	337.8	911.8	1.9	7788.0	11238.5	-9639.7	116.7	378.3	100.0	-	-	-	-	-	-	-	-	-	-
Trial002	10914414.6	Folie3.jpg	0.0	9000.0	B002VS101	CornflowerBlue	90.2	Eye	Fixation	Right	13	4381.2	4564.8	10918795.8	10918979.4	183.6	351.9	903.8	13.0	13.0	3.2	49.7	39.3	-	-	-	-	-	-	-	-	-	-	-	Cell 3	-	-	-	-	-	-	-	-	-
